id,comm_eff,psych_safety,stai6,trust_ai,time,group,role,trust_ai_pre
B41,3.6,3.7142857142857144,3.0,2.6,post,B,在學中，且目前於企業實習(工讀),2.8
B43,3.8,3.7142857142857144,2.5,3.8,post,B,在學中，且目前於企業實習(工讀),3.2
B44,2.6,3.7142857142857144,3.6666666666666665,4.0,post,B,在學中，且目前於企業實習(工讀),4.0
B45,4.4,3.5714285714285716,3.0,3.4,post,B,在學中，且目前於企業實習(工讀),2.8
B46,3.6,3.2857142857142856,3.0,2.8,post,B,職場新鮮人（入職 1 年以內）,2.4
B47,4.2,3.7142857142857144,4.333333333333333,2.6,post,B,在學中，且目前於企業實習(工讀),3.6
B48,2.2,2.2857142857142856,2.5,2.6,post,B,職場新鮮人（入職 1 年以內）,2.8
B49,3.8,3.857142857142857,2.5,3.2,post,B,在學中，且目前於企業實習(工讀),2.6
B50,4.0,3.7142857142857144,2.0,2.6,post,B,在學中，且目前於企業實習(工讀),3.0
B51,3.0,3.5714285714285716,3.8333333333333335,4.0,post,B,職場新鮮人（入職 1 年以內）,4.4
B52,2.8,3.2857142857142856,3.3333333333333335,3.0,post,B,在學中，且目前於企業實習(工讀),3.0
B53,3.0,3.0,3.0,3.0,post,B,在學中，且目前於企業實習(工讀),3.0
B54,4.0,3.7142857142857144,2.5,2.8,post,B,在學中，且目前於企業實習(工讀),3.8
B55,1.6,2.142857142857143,3.6666666666666665,2.6,post,B,在學中，且目前於企業實習(工讀),3.4
B56,3.4,3.4285714285714284,3.1666666666666665,2.4,post,B,職場新鮮人（入職 1 年以內）,3.0
B58,3.0,3.0,3.0,3.4,post,B,在學中，且目前於企業實習(工讀),3.4
A07,4.0,4.0,3.0,,delay,A,職場新鮮人（入職 1 年以內）,3.0
A27,3.6,3.6666666666666665,4.0,,delay,A,在學中，且目前於企業實習(工讀),3.2
A28,4.2,4.833333333333333,3.3333333333333335,,delay,A,職場新鮮人（入職 1 年以內）,4.2
A29,5.0,4.5,1.0,,delay,A,在學中，且目前於企業實習(工讀),5.0
A30,2.8,3.1666666666666665,4.0,,delay,A,在學中，且目前於企業實習(工讀),3.6
A31,3.0,3.0,3.0,,delay,A,在學中，且目前於企業實習(工讀),3.0
A32,3.4,2.8333333333333335,3.0,,delay,A,職場新鮮人（入職 1 年以內）,2.8
A33,3.2,2.0,3.6666666666666665,,delay,A,職場新鮮人（入職 1 年以內）,3.4
A35,5.0,5.0,5.0,,delay,A,在學中，且目前於企業實習(工讀),3.8
A36,4.0,3.6666666666666665,3.3333333333333335,,delay,A,在學中，且目前於企業實習(工讀),1.2
A37,4.0,4.333333333333333,3.0,,delay,A,職場新鮮人（入職 1 年以內）,4.2
A38,3.2,3.6666666666666665,4.0,,delay,A,職場新鮮人（入職 1 年以內）,4.0
A39,3.2,3.3333333333333335,2.0,,delay,A,在學中，且目前於企業實習(工讀),2.4
A40,3.8,3.8333333333333335,3.0,,delay,A,職場新鮮人（入職 1 年以內）,3.6
A41,4.0,4.666666666666667,1.6666666666666667,,delay,A,職場新鮮人（入職 1 年以內）,4.0
A42,4.8,4.5,2.0,,delay,A,職場新鮮人（入職 1 年以內）,3.4
A43,4.4,4.333333333333333,1.3333333333333333,,delay,A,職場新鮮人（入職 1 年以內）,3.4
A44,4.0,4.0,3.0,,delay,A,職場新鮮人（入職 1 年以內）,4.2
A46,3.8,3.0,2.6666666666666665,,delay,A,在學中，且目前於企業實習(工讀),3.4
A47,4.0,3.6666666666666665,3.3333333333333335,,delay,A,職場新鮮人（入職 1 年以內）,3.0
A48,3.8,3.8333333333333335,2.0,,delay,A,職場新鮮人（入職 1 年以內）,2.8
A49,3.4,2.8333333333333335,3.0,,delay,A,在學中，且目前於企業實習(工讀),4.0
A50,4.0,4.0,2.6666666666666665,,delay,A,在學中，且目前於企業實習(工讀),4.0
A51,3.8,4.166666666666667,2.0,,delay,A,在學中，且目前於企業實習(工讀),2.4
A52,3.0,3.0,3.0,,delay,A,職場新鮮人（入職 1 年以內）,2.4
A53,4.6,4.5,2.6666666666666665,,delay,A,職場新鮮人（入職 1 年以內）,2.6
A54,4.4,4.333333333333333,2.6666666666666665,,delay,A,在學中，且目前於企業實習(工讀),3.0
A55,3.8,4.0,3.0,,delay,A,在學中，且目前於企業實習(工讀),2.2
A56,3.8,4.333333333333333,1.0,,delay,A,在學中，且目前於企業實習(工讀),2.8
A57,4.2,4.333333333333333,2.6666666666666665,,delay,A,在學中，且目前於企業實習(工讀),2.8
A58,3.8,3.8333333333333335,3.3333333333333335,,delay,A,在學中，且目前於企業實習(工讀),3.8
B13,4.2,3.5,3.3333333333333335,,delay,B,職場新鮮人（入職 1 年以內）,3.0
B22,3.4,4.0,3.0,,delay,B,職場新鮮人（入職 1 年以內）,3.4
B23,3.8,4.0,2.6666666666666665,,delay,B,在學中，且目前於企業實習(工讀),3.0
B27,2.4,3.0,4.0,,delay,B,職場新鮮人（入職 1 年以內）,2.8
B29,3.8,3.6666666666666665,3.3333333333333335,,delay,B,在學中，且目前於企業實習(工讀),2.8
B30,4.0,2.5,4.0,,delay,B,職場新鮮人（入職 1 年以內）,2.6
