id,comm_eff,psych_safety,stai6,trust_ai,time,group,role,trust_ai_pre
A05,5.0,5.0,1.0,,delay,A,在學實習生,3.0
A06,4.2,4.166666666666667,1.0,,delay,A,職場新鮮人,3.6
A08,3.6,2.3333333333333335,1.6666666666666667,,delay,A,職場新鮮人,4.0
A09,4.6,4.5,3.3333333333333335,,delay,A,職場新鮮人,4.2
A10,4.0,4.666666666666667,3.0,,delay,A,職場新鮮人,5.0
A11,5.0,5.0,1.0,,delay,A,職場新鮮人,5.0
A12,4.4,4.166666666666667,2.0,,delay,A,職場新鮮人,4.2
A13,2.6,3.8333333333333335,3.6666666666666665,,delay,A,職場新鮮人,2.8
A15,3.8,4.166666666666667,3.6666666666666665,,delay,A,職場新鮮人,3.2
A16,5.0,3.8333333333333335,1.3333333333333333,,delay,A,在學實習生,4.0
A17,4.2,3.6666666666666665,3.0,,delay,A,在學實習生,3.2
A18,3.2,3.3333333333333335,4.0,,delay,A,在學實習生,4.4
A19,3.6,3.1666666666666665,2.0,,delay,A,在學實習生,3.0
A20,3.2,3.5,3.6666666666666665,,delay,A,在學實習生,3.6
A21,4.0,3.6666666666666665,2.3333333333333335,,delay,A,在學實習生,3.0
A21,5.0,3.3333333333333335,1.0,,delay,A,在學實習生,3.0
A22,3.0,3.8333333333333335,4.0,,delay,A,在學實習生,3.0
A23,3.4,2.6666666666666665,3.3333333333333335,,delay,A,職場新鮮人,2.8
A24,4.0,3.6666666666666665,3.0,,delay,A,在學實習生,3.8
A25,4.0,4.0,3.0,,delay,A,職場新鮮人,3.0
A26,3.2,3.8333333333333335,2.0,,delay,A,職場新鮮人,2.6
B01,3.8,3.6666666666666665,3.6666666666666665,,delay,B,在學實習生,3.0
B02,3.0,3.5,3.3333333333333335,,delay,B,在學實習生,3.8
B03,4.0,4.0,2.0,,delay,B,在學實習生,3.6
B04,2.2,2.8333333333333335,4.333333333333333,,delay,B,職場新鮮人,3.2
B05,3.0,3.6666666666666665,2.3333333333333335,,delay,B,職場新鮮人,3.6
B06,4.2,4.5,1.3333333333333333,,delay,B,職場新鮮人,4.4
B07,4.0,3.3333333333333335,3.6666666666666665,,delay,B,在學實習生,4.0
B08,4.8,3.8333333333333335,1.3333333333333333,,delay,B,職場新鮮人,4.6
B09,2.0,2.5,5.0,,delay,B,職場新鮮人,4.2
B10,3.0,3.5,2.3333333333333335,,delay,B,職場新鮮人,3.8
B11,4.2,4.0,3.0,,delay,B,X(資格不符),2.8
B12,3.0,3.3333333333333335,3.0,,delay,B,職場新鮮人,3.6
B14,3.0,3.0,3.3333333333333335,,delay,B,職場新鮮人,3.0
B14,3.0,3.0,3.3333333333333335,,delay,B,職場新鮮人,3.0
B15,2.2,4.0,4.0,,delay,B,X(資格不符),1.0
B16,3.8,3.8333333333333335,4.0,,delay,B,職場新鮮人,3.8
B17,4.0,3.3333333333333335,4.0,,delay,B,在學實習生,2.6
B18,2.8,2.5,1.6666666666666667,,delay,B,職場新鮮人,3.2
B19,3.2,3.1666666666666665,2.3333333333333335,,delay,B,職場新鮮人,2.0
B21,5.0,3.6666666666666665,1.0,,delay,B,在學實習生,3.0
B24,4.0,4.0,2.0,,delay,B,在學實習生,2.4
B25,4.0,4.333333333333333,2.0,,delay,B,在學實習生,3.6
B26,3.6,4.5,4.666666666666667,,delay,B,職場新鮮人,3.8
